"STATISTIC","STATISTIC Label","TLIST(Q1)","Quarter","C03349V04063","Eircode Output","UNIT","VALUE"
"NDQ07","New Dwelling Completion","20122","2012Q2","D16","D16: Dublin 16","Number","9"
"NDQ07","New Dwelling Completion","20122","2012Q2","D17","D17: Dublin 17","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","D18","D18: Dublin 18","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","D20","D20: Dublin 20","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","D22","D22: Dublin 22","Number","0"
"NDQ07","New Dwelling Completion","20122","2012Q2","D24","D24: Dublin 24","Number","12"
"NDQ07","New Dwelling Completion","20122","2012Q2","D6W","D6W: Dublin 6W","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","E21","E21: Cahir","Number","4"
"NDQ07","New Dwelling Completion","20122","2012Q2","E25","E25: Cashel","Number","2"
"NDQ07","New Dwelling Completion","20122","2012Q2","E32","E32: Carrick-on-Suir","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","E34","E34: Tipperary","Number","4"
"NDQ07","New Dwelling Completion","20122","2012Q2","E41","E41: Thurles","Number","10"
"NDQ07","New Dwelling Completion","20122","2012Q2","E45","E45: Nenagh","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","E53","E53: Roscrea","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","E91","E91: Clonmel","Number","3"
"NDQ07","New Dwelling Completion","20122","2012Q2","F12","F12: Claremorris","Number","12"
"NDQ07","New Dwelling Completion","20122","2012Q2","F23","F23: Castlebar","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","F26","F26: Ballina","Number","19"
"NDQ07","New Dwelling Completion","20122","2012Q2","F28","F28: Westport","Number","17"
"NDQ07","New Dwelling Completion","20122","2012Q2","F31","F31: Ballinrobe","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","F35","F35: Ballyhaunis","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","F42","F42: Roscommon","Number","11"
"NDQ07","New Dwelling Completion","20122","2012Q2","F45","F45: Castlerea","Number","11"
"NDQ07","New Dwelling Completion","20122","2012Q2","F52","F52: Boyle","Number","5"
"NDQ07","New Dwelling Completion","20122","2012Q2","F56","F56: Ballymote","Number","1"
"NDQ07","New Dwelling Completion","20122","2012Q2","F91","F91: Sligo","Number","60"
"NDQ07","New Dwelling Completion","20122","2012Q2","F92","F92: Letterkenny","Number","24"
"NDQ07","New Dwelling Completion","20122","2012Q2","F93","F93: Lifford","Number","38"
"NDQ07","New Dwelling Completion","20122","2012Q2","F94","F94: Donegal","Number","12"
"NDQ07","New Dwelling Completion","20122","2012Q2","H12","H12: Cavan","Number","4"
"NDQ07","New Dwelling Completion","20122","2012Q2","H14","H14: Belturbet","Number","1"
